Date,Open,High,Low,Close,Adj Close,Volume,Company Name
03-01-2023,34.939999,35.59,34.740002,35.57,34.593464,23175300,Comscat Corporation
04-01-2023,36.25,36.970001,36.029999,36.59,35.585461,24067700,Comscat Corporation
05-01-2023,36.900002,37.150002,36.209999,36.98,35.964752,26969600,Comscat Corporation
06-01-2023,37.560001,38,37.169998,37.889999,36.84977,18780000,Comscat Corporation
09-01-2023,37.990002,38,37.419998,37.549999,36.519104,22849900,Comscat Corporation
10-01-2023,37.400002,37.93,37.34,37.880001,36.840046,15757000,Comscat Corporation
11-01-2023,38.060001,38.099998,37.43,37.950001,36.908119,13347000,Comscat Corporation
12-01-2023,37.860001,38.73,37.709999,38.689999,37.6278,20376700,Comscat Corporation
13-01-2023,38.700001,39.060001,38.470001,38.93,37.861217,14155700,Comscat Corporation
17-01-2023,38.990002,39.040001,38.439999,38.939999,37.870941,18354300,Comscat Corporation
18-01-2023,38.869999,39.139999,38.169998,38.279999,37.229057,18201600,Comscat Corporation
19-01-2023,38.240002,38.369999,37.77,38.139999,37.092907,16010300,Comscat Corporation
20-01-2023,38.240002,39.450001,37.970001,39.369999,38.289139,22598100,Comscat Corporation
23-01-2023,39.25,40.419998,39.25,40.259998,39.154705,30350300,Comscat Corporation
24-01-2023,40.189999,40.439999,39.650002,39.75,38.658707,24189300,Comscat Corporation
25-01-2023,40.310001,40.310001,39.560001,40.099998,38.999096,24544400,Comscat Corporation
26-01-2023,39.049999,40.740002,39.009998,40.41,39.300583,22311100,Comscat Corporation
27-01-2023,40.18,40.389999,39.529999,39.599998,38.512821,20776700,Comscat Corporation
30-01-2023,39.110001,39.52,38.939999,39.240002,38.162708,19014700,Comscat Corporation
31-01-2023,39.25,39.419998,39.080002,39.349998,38.269684,26005900,Comscat Corporation
01-02-2023,39.099998,40.299999,38.68,39.970001,38.872665,17815100,Comscat Corporation
02-02-2023,39.849998,41.150002,39.73,41.110001,39.981365,21445700,Comscat Corporation
03-02-2023,40.810001,40.860001,39.799999,39.970001,38.872665,20404400,Comscat Corporation
06-02-2023,39.549999,39.790001,39.259998,39.509998,38.425297,14255600,Comscat Corporation
07-02-2023,39.330002,39.889999,39.02,39.669998,38.580898,17929000,Comscat Corporation
08-02-2023,39.23,39.400002,38.529999,38.759998,37.695881,19689100,Comscat Corporation
09-02-2023,39.32,39.419998,37.869999,37.900002,36.859497,20396100,Comscat Corporation
10-02-2023,37.900002,38.380001,37.880001,38.360001,37.30687,16100100,Comscat Corporation
13-02-2023,38.169998,39.259998,38.169998,39.09,38.016823,18378700,Comscat Corporation
14-02-2023,38.900002,39.27,38.529999,39.060001,37.987644,18006800,Comscat Corporation
15-02-2023,39.200001,39.52,38.720001,39.419998,38.337765,16747700,Comscat Corporation
16-02-2023,38.849998,39.990002,38.799999,39.720001,38.629528,23909500,Comscat Corporation
17-02-2023,39.709999,39.799999,38.970001,39.119999,38.045998,13992800,Comscat Corporation
21-02-2023,38.470001,38.700001,37.790001,37.84,36.80114,18765000,Comscat Corporation
22-02-2023,37.700001,38.259998,37.580002,38.009998,36.966473,16612100,Comscat Corporation
23-02-2023,38.029999,38.139999,37.439999,37.689999,36.655258,17699200,Comscat Corporation
24-02-2023,37.009998,37.299999,36.889999,37,35.984203,18159200,Comscat Corporation
27-02-2023,37.25,37.57,37.119999,37.349998,36.324593,17514600,Comscat Corporation
28-02-2023,37.02,37.400002,36.82,37.169998,36.149532,24474300,Comscat Corporation
01-03-2023,36.880001,37.080002,36.34,36.630001,35.624363,17280400,Comscat Corporation
02-03-2023,36.400002,37.029999,36.389999,36.950001,35.935577,13626300,Comscat Corporation
03-03-2023,37.240002,37.389999,37,37.23,36.207886,16776900,Comscat Corporation
06-03-2023,37.619999,37.630001,37.02,37.080002,36.062008,12422100,Comscat Corporation
07-03-2023,37.07,37.209999,35.939999,36.189999,35.196438,20070100,Comscat Corporation
08-03-2023,36.450001,36.470001,35.610001,35.900002,34.914406,17450000,Comscat Corporation
09-03-2023,36,36.130001,35.330002,35.470001,34.496208,14273800,Comscat Corporation
10-03-2023,35.240002,35.580002,34.990002,35.310001,34.340599,20414500,Comscat Corporation
13-03-2023,35.299999,35.950001,34.939999,35.509998,34.535107,22182100,Comscat Corporation
14-03-2023,35.98,36.009998,34.93,35.279999,34.31142,27424100,Comscat Corporation
15-03-2023,35.029999,35.990002,34.630001,35.889999,34.904678,22670200,Comscat Corporation
16-03-2023,35.41,36.310001,35.41,36.240002,35.245068,22245100,Comscat Corporation
17-03-2023,35.869999,36.209999,35.630001,36.029999,35.040836,51723700,Comscat Corporation
20-03-2023,36.189999,36.540001,36.16,36.43,35.429852,16516500,Comscat Corporation
21-03-2023,36.77,37.09,36.669998,36.990002,35.97448,17058200,Comscat Corporation
22-03-2023,37.099998,37.259998,36.169998,36.200001,35.206165,16159200,Comscat Corporation
23-03-2023,36.110001,36.48,35.639999,35.970001,34.982483,20323000,Comscat Corporation
24-03-2023,35.700001,36.130001,35.279999,35.919998,34.933853,20371000,Comscat Corporation
27-03-2023,36.18,36.619999,36.169998,36.400002,35.400681,16333800,Comscat Corporation
28-03-2023,36.41,36.790001,36.349998,36.450001,35.449306,11818100,Comscat Corporation
29-03-2023,36.830002,36.990002,36.73,36.950001,35.935577,14579700,Comscat Corporation
30-03-2023,37.389999,37.400002,36.970001,37.150002,36.130089,14922200,Comscat Corporation
31-03-2023,37.279999,37.950001,37.209999,37.91,36.869217,15858200,Comscat Corporation
03-04-2023,38,38.349998,37.82,38.009998,36.966473,19698300,Comscat Corporation
04-04-2023,37.950001,38.040001,37.459999,37.77,37.015472,20121000,Comscat Corporation
05-04-2023,37.630001,38.099998,37.529999,37.919998,37.162479,16510500,Comscat Corporation
06-04-2023,38.040001,38.080002,37.549999,37.689999,36.937073,20359100,Comscat Corporation
10-04-2023,37.529999,38.279999,37.419998,38.23,37.466286,12432400,Comscat Corporation
11-04-2023,38.330002,38.689999,38.279999,38.380001,37.613289,14214800,Comscat Corporation
12-04-2023,38.700001,38.740002,37.540001,37.639999,36.888073,16207500,Comscat Corporation
13-04-2023,37.889999,38.299999,37.740002,38.049999,37.289879,15539200,Comscat Corporation
14-04-2023,37.990002,38.209999,37.43,37.959999,37.201679,19679100,Comscat Corporation
17-04-2023,37.990002,38.240002,37.939999,38.09,37.329082,14930500,Comscat Corporation
18-04-2023,38.849998,39.060001,37.950001,38.27,37.505489,17250100,Comscat Corporation
19-04-2023,38.029999,38.43,37.98,38.25,37.485886,13401000,Comscat Corporation
20-04-2023,38.040001,38.169998,37.580002,37.73,36.976276,14347700,Comscat Corporation
21-04-2023,37.799999,37.849998,37.5,37.740002,36.986076,13679400,Comscat Corporation
24-04-2023,37.669998,37.73,37.080002,37.209999,36.46666,13364800,Comscat Corporation
25-04-2023,36.970001,37.130001,36.75,36.900002,36.162857,18185400,Comscat Corporation
26-04-2023,36.68,36.950001,36.389999,36.52,35.790447,19547800,Comscat Corporation
27-04-2023,37.700001,40.419998,37.599998,40.27,39.46553,31581400,Comscat Corporation
28-04-2023,40.040001,41.419998,39.990002,41.369999,40.54356,24805400,Comscat Corporation
01-05-2023,42,42,41.529999,41.639999,40.808167,17235500,Comscat Corporation
02-05-2023,41.529999,41.639999,40.52,41.200001,40.376957,20977800,Comscat Corporation
03-05-2023,41.360001,41.529999,40.810001,40.889999,40.073147,19592900,Comscat Corporation
04-05-2023,40.77,40.779999,40.009998,40.220001,39.416534,15143000,Comscat Corporation
05-05-2023,40.57,40.630001,39.849998,40.43,39.622341,18935300,Comscat Corporation
08-05-2023,40.529999,40.799999,40.259998,40.59,39.77914,16351900,Comscat Corporation
09-05-2023,40.41,40.5,39.57,39.619999,38.828518,23318300,Comscat Corporation
10-05-2023,39.93,39.93,39.279999,39.860001,39.063728,19204300,Comscat Corporation
11-05-2023,39.790001,40.52,39.779999,40.369999,39.563534,19003400,Comscat Corporation
12-05-2023,40.450001,40.560001,40.02,40.209999,39.406734,17166700,Comscat Corporation
15-05-2023,40.380001,40.509998,40.07,40.200001,39.396931,13489800,Comscat Corporation
16-05-2023,40.09,40.18,39.529999,39.740002,38.946125,12333000,Comscat Corporation
17-05-2023,39.860001,40.470001,39.73,40.290001,39.485138,13146900,Comscat Corporation
18-05-2023,39.830002,41.360001,39.82,41.310001,40.48476,18785400,Comscat Corporation
