Date,Open,High,Low,Close,Adj Close,Volume,Company Name
03-01-2023,27.049999,27.07,26.370001,26.73,26.120346,31308000,Intel Corporation
04-01-2023,27.41,27.92,27.16,27.68,27.048679,37665200,Intel Corporation
05-01-2023,27.440001,27.780001,27.379999,27.559999,26.931417,33552600,Intel Corporation
06-01-2023,27.93,28.83,27.379999,28.73,28.074732,31788600,Intel Corporation
09-01-2023,28.84,29.870001,28.84,29.309999,28.641502,37493200,Intel Corporation
10-01-2023,29.24,29.51,28.92,29.440001,28.768539,23008100,Intel Corporation
11-01-2023,29.68,29.879999,29,29.85,29.169186,30375400,Intel Corporation
12-01-2023,29.98,30.379999,29.469999,30.290001,29.599152,28963900,Intel Corporation
13-01-2023,29.969999,30.17,29.809999,30.110001,29.423258,31361900,Intel Corporation
17-01-2023,30.18,30.26,29.52,29.6,28.924889,34759100,Intel Corporation
18-01-2023,29.799999,29.82,28.629999,28.809999,28.152906,44199600,Intel Corporation
19-01-2023,28.610001,28.76,28.24,28.42,27.771801,36886600,Intel Corporation
20-01-2023,28.42,29.23,28.25,29.219999,28.553555,35158500,Intel Corporation
23-01-2023,29.33,30.49,29.18,30.27,29.579607,38795800,Intel Corporation
24-01-2023,29.940001,30.190001,29.73,29.92,29.237591,24855100,Intel Corporation
25-01-2023,29.52,29.889999,29.17,29.700001,29.022608,28268000,Intel Corporation
26-01-2023,30.059999,30.110001,29.33,30.09,29.403715,56088100,Intel Corporation
27-01-2023,27.07,28.24,26.780001,28.16,27.517731,148548200,Intel Corporation
30-01-2023,27.719999,28.51,27.67,27.950001,27.312523,55145800,Intel Corporation
31-01-2023,27.780001,28.290001,27.530001,28.26,27.61545,52621600,Intel Corporation
01-02-2023,27.889999,29.43,27.68,29.07,28.406977,63330600,Intel Corporation
02-02-2023,29.25,30.299999,28.799999,30.190001,29.501432,62230700,Intel Corporation
03-02-2023,29.620001,31.17,29.530001,30.32,29.628464,57603100,Intel Corporation
06-02-2023,29.549999,29.65,28.610001,28.690001,28.377256,48726400,Intel Corporation
07-02-2023,28.65,29.27,28.43,29.049999,28.73333,50780800,Intel Corporation
08-02-2023,28.950001,29.120001,28.209999,28.24,27.932161,36479100,Intel Corporation
09-02-2023,28.68,28.82,27.57,27.73,27.427719,43906400,Intel Corporation
10-02-2023,27.629999,27.99,27.34,27.799999,27.496958,31232500,Intel Corporation
13-02-2023,27.870001,28.549999,27.719999,28.549999,28.238781,32347500,Intel Corporation
14-02-2023,28.379999,28.719999,27.99,28.639999,28.327801,27928900,Intel Corporation
15-02-2023,28.360001,28.879999,28.16,28.85,28.535511,23359400,Intel Corporation
16-02-2023,28.5,28.83,28.129999,28.200001,27.892597,28972500,Intel Corporation
17-02-2023,28,28.07,27.379999,27.610001,27.309029,32086200,Intel Corporation
21-02-2023,27.110001,27.27,26.040001,26.059999,25.775925,63668400,Intel Corporation
22-02-2023,25.91,26.9,25.299999,25.469999,25.192356,89195300,Intel Corporation
23-02-2023,25.780001,26.08,25.32,25.610001,25.330832,56473200,Intel Corporation
24-02-2023,25.219999,25.35,24.92,25.139999,24.865952,44089900,Intel Corporation
27-02-2023,25.549999,25.58,24.879999,24.9,24.628569,37657000,Intel Corporation
28-02-2023,24.940001,25.120001,24.73,24.93,24.658243,50255300,Intel Corporation
01-03-2023,25.030001,25.92,24.969999,25.33,25.053883,47823400,Intel Corporation
02-03-2023,25.209999,26.299999,25.120001,26.200001,25.9144,48309300,Intel Corporation
03-03-2023,26.200001,26.48,26.01,26.4,26.112219,36744900,Intel Corporation
06-03-2023,26.469999,26.540001,25.93,25.99,25.706686,37879800,Intel Corporation
07-03-2023,25.84,25.99,25.5,25.530001,25.251703,43164600,Intel Corporation
08-03-2023,25.559999,26.01,25.450001,25.98,25.696796,36071900,Intel Corporation
09-03-2023,25.98,26.98,25.969999,26.440001,26.151785,54886100,Intel Corporation
10-03-2023,26.549999,27.52,26.32,27.219999,26.923279,65187000,Intel Corporation
13-03-2023,26.74,27.309999,26.610001,26.950001,26.656223,50977000,Intel Corporation
14-03-2023,27.35,28.1,27.25,28.01,27.70467,47689800,Intel Corporation
15-03-2023,27.73,28.5,27.66,28.41,28.100307,49322800,Intel Corporation
16-03-2023,28.389999,30.27,28.389999,30.18,29.851015,75779500,Intel Corporation
17-03-2023,29.92,31,29.440001,29.809999,29.485046,80628500,Intel Corporation
20-03-2023,29.799999,29.9,28.629999,29.16,28.842134,38780100,Intel Corporation
21-03-2023,29,29.17,27.98,28.459999,28.149761,55650800,Intel Corporation
22-03-2023,28.48,29.120001,28.1,28.129999,27.823359,37415500,Intel Corporation
23-03-2023,28.379999,29.16,28.219999,29.030001,28.713551,43785500,Intel Corporation
24-03-2023,29.040001,29.809999,28.93,29.360001,29.039953,55912100,Intel Corporation
27-03-2023,29.370001,29.73,29.08,29.18,28.861914,34758200,Intel Corporation
28-03-2023,29.08,29.33,28.629999,29.290001,28.970716,37407900,Intel Corporation
29-03-2023,29.77,31.889999,29.76,31.52,31.176407,85556200,Intel Corporation
30-03-2023,31.85,32.580002,31.809999,32.09,31.740194,70077600,Intel Corporation
31-03-2023,31.799999,32.900002,31.73,32.669998,32.313866,59765000,Intel Corporation
03-04-2023,32.939999,33.560001,32.540001,32.889999,32.531475,57038300,Intel Corporation
04-04-2023,32.849998,33.84,32.84,33.099998,32.739182,55714100,Intel Corporation
05-04-2023,32.799999,32.990002,32.34,32.830002,32.47213,39615700,Intel Corporation
06-04-2023,32.599998,33,32.459999,32.810001,32.452347,28551900,Intel Corporation
10-04-2023,32.599998,32.759998,32.200001,32.52,32.165504,30534400,Intel Corporation
11-04-2023,32.66,33.110001,32.32,32.349998,31.997356,27059100,Intel Corporation
12-04-2023,32.77,32.889999,31.959999,32.02,31.670956,37070800,Intel Corporation
13-04-2023,31.82,32.43,31.65,32.130001,31.77976,29722300,Intel Corporation
14-04-2023,32,32.240002,31.690001,31.889999,31.542372,24623600,Intel Corporation
17-04-2023,31.950001,32.639999,31.77,32.139999,31.789644,29601100,Intel Corporation
18-04-2023,32.43,32.459999,31.780001,31.83,31.483028,26041400,Intel Corporation
19-04-2023,31.1,31.52,31.08,31.15,30.81044,25746600,Intel Corporation
20-04-2023,30.76,31.25,30.709999,30.860001,30.523603,30255100,Intel Corporation
21-04-2023,30.84,30.84,30.23,30.299999,29.969706,28655800,Intel Corporation
24-04-2023,30.129999,30.370001,29.610001,29.66,29.336683,38732500,Intel Corporation
25-04-2023,29.440001,29.57,28.870001,28.879999,28.565184,38289900,Intel Corporation
26-04-2023,29.200001,29.809999,28.84,29.049999,28.73333,41218800,Intel Corporation
27-04-2023,28.75,29.950001,28.51,29.860001,29.534502,60186200,Intel Corporation
28-04-2023,31.98,32.57,30.809999,31.059999,30.721422,80229700,Intel Corporation
01-05-2023,31.110001,31.24,30.280001,30.299999,29.969706,36918500,Intel Corporation
02-05-2023,30.299999,30.58,29.75,29.77,29.445482,33463400,Intel Corporation
03-05-2023,30.639999,31.110001,30.25,30.65,30.315891,45554500,Intel Corporation
04-05-2023,30.440001,31.719999,30.379999,31.24,31.025991,46104000,Intel Corporation
05-05-2023,31.379999,31.41,30.73,30.99,30.777704,35010800,Intel Corporation
08-05-2023,30.700001,30.84,30.389999,30.77,30.559214,30882800,Intel Corporation
09-05-2023,30.379999,30.58,29.91,30.1,29.893803,30706500,Intel Corporation
10-05-2023,30.290001,30.4,29.49,29.969999,29.764692,40526500,Intel Corporation
11-05-2023,29.6,29.68,28.82,28.860001,28.662296,47144400,Intel Corporation
12-05-2023,29.030001,29.1,28.719999,28.950001,28.75168,24147300,Intel Corporation
15-05-2023,28.9,29.83,28.879999,29.799999,29.595858,28717500,Intel Corporation
16-05-2023,29.620001,29.9,29.209999,29.219999,29.019831,22812000,Intel Corporation
17-05-2023,29.52,29.559999,28.68,28.870001,28.67223,41667300,Intel Corporation
18-05-2023,29,29.76,28.870001,29.68,29.476679,36529200,Intel Corporation
19-05-2023,29.6,30.24,29.5,29.93,29.724966,40668700,Intel Corporation
22-05-2023,29.85,30.450001,29.82,30.280001,30.072571,28693400,Intel Corporation
23-05-2023,30.049999,30.200001,29.49,29.51,29.307844,29400900,Intel Corporation
24-05-2023,29.309999,29.49,28.82,29,28.801338,28045800,Intel Corporation
25-05-2023,28.290001,28.290001,26.860001,27.4,27.212297,78009400,Intel Corporation
26-05-2023,27.440001,29.09,27.1,29,28.801338,71910600,Intel Corporation
30-05-2023,29.700001,30.040001,29,29.99,29.784557,54874800,Intel Corporation
31-05-2023,29.700001,32.290001,29.67,31.440001,31.224623,136243800,Intel Corporation
01-06-2023,31.799999,31.940001,31.02,31.129999,30.916746,52667400,Intel Corporation
02-06-2023,31.4,31.59,30.83,31.309999,31.095512,36496200,Intel Corporation
